"fecha";"std";"Prof";"sitio";"Lectura_std"
"2017-12-21";"672";"p20cm";"S1";0,734
"2017-12-21";"672";"p40cm";"S1";0,866
"2017-12-21";"672";"p60cm";"S1";0,685
"2017-12-21";"672";"p80cm";"S1";0,6
"2017-12-21";"672";"p100cm";"S1";0,554
"2017-12-27";"724";"p20cm";"S1";0,628
"2017-12-27";"724";"p40cm";"S1";0,79
"2017-12-27";"724";"p60cm";"S1";0,583
"2017-12-27";"724";"p80cm";"S1";0,547
"2017-12-27";"724";"p100cm";"S1";0,5
"2018-01-03";"773";"p20cm";"S1";0,479
"2018-01-03";"773";"p40cm";"S1";0,736
"2018-01-03";"773";"p60cm";"S1";0,459
"2018-01-03";"773";"p80cm";"S1";0,411
"2018-01-03";"773";"p100cm";"S1";0,427
"2018-01-10";"734";"p20cm";"S1";0,507
"2018-01-10";"734";"p40cm";"S1";0,734
"2018-01-10";"734";"p60cm";"S1";0,484
"2018-01-10";"734";"p80cm";"S1";0,392
"2018-01-10";"734";"p100cm";"S1";0,405
"2018-01-17";"748";"p20cm";"S1";0,576
"2018-01-17";"748";"p40cm";"S1";0,687
"2018-01-17";"748";"p60cm";"S1";0,488
"2018-01-17";"748";"p80cm";"S1";0,396
"2018-01-17";"748";"p100cm";"S1";0,398
"2018-01-24";"742";"p20cm";"S1";0,469
"2018-01-24";"742";"p40cm";"S1";0,705
"2018-01-24";"742";"p60cm";"S1";0,482
"2018-01-24";"742";"p80cm";"S1";0,384
"2018-01-24";"742";"p100cm";"S1";0,371
"2018-01-31";"729";"p20cm";"S1";0,565
"2018-01-31";"729";"p40cm";"S1";0,715
"2018-01-31";"729";"p60cm";"S1";0,499
"2018-01-31";"729";"p80cm";"S1";0,385
"2018-01-31";"729";"p100cm";"S1";0,37
"2018-02-07";"736";"p20cm";"S1";0,515
"2018-02-07";"736";"p40cm";"S1";0,689
"2018-02-07";"736";"p60cm";"S1";0,49
"2018-02-07";"736";"p80cm";"S1";0,386
"2018-02-07";"736";"p100cm";"S1";0,349
"2018-02-14";"726";"p20cm";"S1";0,64
"2018-02-14";"726";"p40cm";"S1";0,737
"2018-02-14";"726";"p60cm";"S1";0,481
"2018-02-14";"726";"p80cm";"S1";0,393
"2018-02-14";"726";"p100cm";"S1";0,379
"2018-02-21";"753";"p20cm";"S1";0,655
"2018-02-21";"753";"p40cm";"S1";0,71
"2018-02-21";"753";"p60cm";"S1";0,462
"2018-02-21";"753";"p80cm";"S1";0,376
"2018-02-21";"753";"p100cm";"S1";0,343
"2018-02-27";"730";"p20cm";"S1";0,619
"2018-02-27";"730";"p40cm";"S1";0,695
"2018-02-27";"730";"p60cm";"S1";0,488
"2018-02-27";"730";"p80cm";"S1";0,395
"2018-02-27";"730";"p100cm";"S1";0,362
"2018-03-07";"733";"p20cm";"S1";0,614
"2018-03-07";"733";"p40cm";"S1";0,683
"2018-03-07";"733";"p60cm";"S1";0,492
"2018-03-07";"733";"p80cm";"S1";0,381
"2018-03-07";"733";"p100cm";"S1";0,349
"2018-03-14";"735";"p20cm";"S1";0,612
"2018-03-14";"735";"p40cm";"S1";0,727
"2018-03-14";"735";"p60cm";"S1";0,48
