"fecha";"sitio";"Lectura_std_Med";"Lectura_std_Sum";"Lectura_std_Max"
"2017-12-21";"S1";0,6878;3,439;0,866
"2017-12-21";"S10";0,9014;4,507;1,043
"2017-12-21";"S11";0,862;4,31;1,061
"2017-12-21";"S12";0,9304;4,652;1,121
"2017-12-21";"S2";0,7534;3,767;0,946
"2017-12-21";"S3";0,686;3,43;0,908
"2017-12-21";"S4";0,844;4,22;1,124
"2017-12-21";"S5";0,8474;4,237;1,167
"2017-12-21";"S6";0,8876;4,438;1,137
"2017-12-21";"S7";0,6946;3,473;0,833
"2017-12-21";"S8";0,807;3,228;1,034
"2017-12-21";"S9";0,8242;4,121;1,013
"2017-12-27";"S1";0,6096;3,048;0,79
"2017-12-27";"S10";0,84;4,2;1,026
"2017-12-27";"S11";0,8084;4,042;1,021
"2017-12-27";"S12";0,8438;4,219;1,05
"2017-12-27";"S2";0,6634;3,317;0,816
"2017-12-27";"S3";0,6266;3,133;0,761
"2017-12-27";"S4";0,7548;3,774;1,012
"2017-12-27";"S5";0,7574;3,787;1,036
"2017-12-27";"S6";0,8058;4,029;1,029
"2017-12-27";"S7";0,655;3,275;0,786
"2017-12-27";"S8";0,76475;3,059;0,983
"2017-12-27";"S9";0,7584;3,792;0,93
"2018-01-03";"S1";0,5024;2,512;0,736
"2018-01-03";"S10";0,7562;3,781;0,937
"2018-01-03";"S11";0,7204;3,602;0,947
"2018-01-03";"S12";0,795;3,975;1,036
"2018-01-03";"S2";0,5766;2,883;0,617
"2018-01-03";"S3";0,4968;2,484;0,55
"2018-01-03";"S4";0,6392;3,196;0,871
"2018-01-03";"S5";0,6814;3,407;0,865
"2018-01-03";"S6";0,717;3,585;0,934
"2018-01-03";"S7";0,6114;3,057;0,719
"2018-01-03";"S8";0,72325;2,893;0,95
"2018-01-03";"S9";0,6746;3,373;0,907
"2018-01-10";"S1";0,5044;2,522;0,734
"2018-01-10";"S10";0,797;3,985;0,996
"2018-01-10";"S11";0,7396;3,698;0,94
"2018-01-10";"S12";0,8356;4,178;1,023
"2018-01-10";"S2";0,5404;2,702;0,643
"2018-01-10";"S3";0,4972;2,486;0,576
"2018-01-10";"S4";0,6506;3,253;0,936
"2018-01-10";"S5";0,6896;3,448;0,913
"2018-01-10";"S6";0,7122;3,561;0,922
"2018-01-10";"S7";0,6756;3,378;0,756
"2018-01-10";"S8";0,75925;3,037;0,962
"2018-01-10";"S9";0,6838;3,419;0,884
"2018-01-17";"S1";0,509;2,545;0,687
"2018-01-17";"S10";0,7796;3,898;0,952
"2018-01-17";"S11";0,7088;3,544;0,881
"2018-01-17";"S12";0,7486;3,743;0,912
"2018-01-17";"S2";0,5616;2,808;0,717
"2018-01-17";"S3";0,5134;2,567;0,689
"2018-01-17";"S4";0,7354;3,677;1,031
"2018-01-17";"S5";0,7856;3,928;1,021
"2018-01-17";"S6";0,7372;3,686;0,889
"2018-01-17";"S7";0,682;3,41;0,746
"2018-01-17";"S8";0,739;2,956;0,96
"2018-01-17";"S9";0,6266;3,133;0,709
"2018-01-24";"S1";0,4822;2,411;0,705
"2018-01-24";"S10";0,786;3,93;0,96
"2018-01-24";"S11";0,7148;3,574;0,888
"2018-01-24";"S12";0,7542;3,771;0,919
"2018-01-24";"S2";0,5126;2,563;0,639
"2018-01-24";"S3";0,4788;2,394;0,608
"2018-01-24";"S4";0,6806;3,403;0,96
"2018-01-24";"S5";0,697;3,485;0,949
"2018-01-24";"S6";0,7214;3,607;0,934
"2018-01-24";"S7";0,6144;3,072;0,733
"2018-01-24";"S8";0,68625;2,745;0,845
"2018-01-24";"S9";0,6314;3,157;0,714
"2018-01-31";"S1";0,5068;2,534;0,715
"2018-01-31";"S10";0,7502;3,751;0,916
"2018-01-31";"S11";0,7146;3,573;0,859
"2018-01-31";"S12";0,7568;3,784;0,918
"2018-01-31";"S2";0,5162;2,581;0,657
"2018-01-31";"S3";0,4676;2,338;0,602
"2018-01-31";"S4";0,6938;3,469;0,957
"2018-01-31";"S5";0,7014;3,507;0,94
"2018-01-31";"S6";0,6834;3,417;0,855
"2018-01-31";"S7";0,6898;3,449;0,793
"2018-01-31";"S8";0,756;3,024;0,889
"2018-01-31";"S9";0,605;3,025;0,822
"2018-02-07";"S1";0,4858;2,429;0,689
"2018-02-07";"S10";0,6788;3,394;0,846
"2018-02-07";"S11";0,6476;3,238;0,834
"2018-02-07";"S12";0,675;3,375;0,868
"2018-02-07";"S2";0,4868;2,434;0,624
"2018-02-07";"S3";0,464;2,32;0,563
"2018-02-07";"S4";0,6138;3,069;0,89
"2018-02-07";"S5";0,6542;3,271;0,918
"2018-02-07";"S6";0,6658;3,329;0,837
"2018-02-07";"S7";0,6042;3,021;0,694
"2018-02-07";"S8";0,645;2,58;0,818
"2018-02-07";"S9";0,534;2,67;0,743
"2018-02-14";"S1";0,526;2,63;0,737
"2018-02-14";"S10";0,722;3,61;0,895
"2018-02-14";"S11";0,6888;3,444;0,86
"2018-02-14";"S12";0,7262;3,631;0,96
"2018-02-14";"S2";0,5352;2,676;0,756
"2018-02-14";"S3";0,5184;2,592;0,77
"2018-02-14";"S4";0,7632;3,816;1,051
"2018-02-14";"S5";0,7242;3,621;0,979
"2018-02-14";"S6";0,6932;3,466;0,882
